Region,Month of Period End,Median Sale Price,Median Sale Price MoM,Median Sale Price YoY,Homes Sold,Homes Sold MoM,Homes Sold YoY,New Listings,New Listings MoM,New Listings YoY,Inventory,Inventory MoM,Inventory YoY,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM,Average Sale To List YoY
30022,2/1/2012,"$215,000",-7.90%,-12.20%,174,-1.10%,9.40%,246,12.30%,-14.60%,403,0.00%,-23.80%,80,-19,-49,94.40%,0.20%,-0.10%
30022,3/1/2012,"$212,000",-1.30%,-12.60%,177,1.70%,14.20%,318,29.30%,-15.60%,425,5.50%,-24.20%,94,14,-39,94.80%,0.30%,-0.30%
30022,4/1/2012,"$230,000",8.40%,4.50%,208,17.50%,16.20%,360,13.20%,-7.70%,448,5.40%,-23.40%,86,-9,-43,96.10%,1.40%,1.30%
30022,5/1/2012,"$233,000",1.30%,5.90%,231,11.10%,12.10%,401,11.40%,-6.70%,466,4.00%,-19.90%,77,-9,-33,96.30%,0.20%,1.30%
30022,6/1/2012,"$239,000",2.60%,2.10%,276,19.50%,7.00%,396,-1.20%,-2.50%,454,-2.60%,-22.10%,62,-15,-21,96.10%,-0.20%,0.90%
30022,7/1/2012,"$248,000",3.80%,-9.20%,312,13.00%,16.00%,353,-10.90%,-5.60%,393,-13.40%,-30.90%,70,8,-13,95.90%,-0.20%,0.60%
30022,8/1/2012,"$276,000",11.40%,-1.20%,352,12.80%,27.50%,321,-9.10%,1.90%,374,-4.80%,-27.40%,76,6,-8,96.10%,0.20%,0.70%
30022,9/1/2012,"$250,000",-9.50%,-9.40%,327,-7.10%,44.10%,292,-9.00%,4.30%,357,-4.50%,-28.30%,74,-2,-21,96.50%,0.40%,1.60%
30022,10/1/2012,"$248,000",-0.80%,-6.20%,279,-14.70%,33.50%,279,-4.50%,0.00%,342,-4.20%,-33.80%,68,-6,-38,96.70%,0.20%,2.10%
30022,11/1/2012,"$224,000",-9.60%,-17.90%,238,-14.70%,28.00%,233,-16.50%,-14.00%,313,-8.50%,-34.40%,69,1,-47,96.40%,-0.30%,2.30%
30022,12/1/2012,"$258,000",14.90%,0.10%,216,-9.20%,15.50%,178,-23.60%,-24.90%,280,-10.50%,-34.60%,78,9,-36,96.10%,-0.30%,1.80%
30022,1/1/2013,"$262,000",1.60%,12.20%,199,-7.90%,13.10%,173,-2.80%,-21.00%,257,-8.20%,-36.20%,80,3,-19,95.70%,-0.40%,1.50%
30022,2/1/2013,"$254,000",-3.10%,18.10%,186,-6.50%,6.90%,234,35.30%,-4.90%,273,6.20%,-32.30%,83,3,3,96.30%,0.70%,1.90%
30022,3/1/2013,"$245,000",-3.50%,15.50%,210,12.90%,18.60%,328,40.20%,3.10%,299,9.50%,-29.60%,77,-6,-17,96.80%,0.40%,2.00%
30022,4/1/2013,"$250,000",2.00%,8.70%,269,28.10%,29.30%,398,21.30%,10.60%,300,0.30%,-33.00%,53,-24,-33,98.20%,1.50%,2.10%
